Designator,Mid X,Mid Y,Layer,Rotation
C1,31.18,37.84,Top,180.0
C3,29.04,44.42,Top,270.0
C4,26.95,44.39,Top,270.0
C8,41.87,66.52,Top,0.0
C9,28.89,64.27,Top,45.0
C10,40.65,63.21,Top,180.0
C13,25.66,56.38,Top,0.0
C14,25.63,69.38,Top,0.0
D1,53.70,68.76,Top,270.0
D2,53.70,70.84,Top,270.0
D3,53.70,72.92,Top,270.0
J2,49.50,58.38,Top,90.0
R1,43.88,55.88,Top,0.0
R2,44.38,61.25,Top,180.0
R3,14.59,74.62,Top,0.0
R4,14.53,76.75,Top,0.0
R5,44.12,58.67,Top,90.0
R6,48.03,68.63,Top,0.0
R7,47.97,70.76,Top,0.0
R8,48.03,72.88,Top,0.0
R10,25.75,71.50,Top,180.0
R12,23.38,59.38,Top,270.0
R16,24.13,48.04,Top,0.0
S1,29.38,73.03,Top,270.0
TP1,46.52,63.23,Top,0.0
TP2,37.57,53.85,Top,0.0
TP3,45.86,53.85,Top,0.0
TP4,41.24,59.05,Top,0.0
TP5,42.16,60.18,Top,0.0
U1,33.94,59.49,Top,0.0
U5,33.83,44.80,Top,270.0
U6,27.12,51.27,Top,90.0
X1,27.01,60.00,Top,270.0
